,feature,importance_lgbm,importance_xgb,importance_ensemble
198,P_6,0.0772223885064352,0.0005359634,0.038879175950324335
199,Td_10,0.0772223885064352,0.00024180306,0.03873209578499029
200,temp_pred_8,0.0772223885064352,0.0009573596,0.03908987406223843
201,target_lag_24_5,0.07692307692307693,0.0014590984,0.03919108767205706
202,Td_15,0.07572583058964381,0.00046187453,0.03809385255968158
203,rain_probability_3,0.07542651900628554,0.0010118425,0.03821918075940558
204,P_4,0.07512720742292726,0.00054366945,0.0378354384355807
205,Td_22,0.07482789583956899,0.0006395367,0.03773371627431401
206,P_5,0.07392996108949416,0.00037942626,0.0371546936744044
207,P_20,0.07363064950613589,0.0006760974,0.03715337345633798
208,temp_1,0.07363064950613589,0.000576757,0.03710370325856984
209,temp_pred_10,0.07333133792277761,0.0015031436,0.03741724074937571
210,Td_3,0.07333133792277761,0.00080358435,0.03706746113605965
211,rain_probability_17,0.07303202633941934,0.0004005108,0.03671626856532142
212,Td_12,0.07243340317270279,0.00027450107,0.03635395212212358
213,rain_probability_12,0.07123615683926968,0.00038618548,0.03581117115884437
214,temp_pred_15,0.0709368452559114,0.0012149572,0.036075901234935995
215,Td,0.06914097575576175,0.00040614547,0.03477356061159233
216,rain_probability_13,0.0685423525890452,0.0002894722,0.034415912393695916
217,Td_4,0.0685423525890452,0.0006100163,0.03457618443770917
218,P_17,0.06794372942232864,0.00046399276,0.03420386109351815
219,S_16,0.06704579467225381,0.000637113,0.033841453836260034
220,day_of_week_7,0.06674648308889554,0.019997276,0.043371879727326264
221,rain_probability_20,0.06644717150553726,0.00056757475,0.03350737312901598
222,day_23,0.06644717150553726,0.0028407983,0.03464398492686283
223,P_13,0.06554923675546244,0.00035646587,0.032952851312289984
224,P_14,0.06524992517210416,0.00034002928,0.03279497722462222
225,Td_17,0.06524992517210416,0.0007213662,0.03298564568751428
226,day_of_week_8,0.06495061358874589,0.001512294,0.03323145382092297
227,temp_pred_22,0.06465130200538761,0.0006346872,0.03264299460069265
228,temp_pred_17,0.0634540556719545,0.0010275458,0.03224080072362068
229,year,0.0634540556719545,0.00046229034,0.031958173004049795
230,holidays,0.06315474408859623,0.006243732,0.03469923795757002
231,temp_pred_14,0.06255612092187968,0.0035714854,0.033063803161971106
232,temp_pred_21,0.0622568093385214,0.0016659836,0.03196139646021845
233,P_19,0.0622568093385214,0.00044886442,0.03135283687876733
234,P_9,0.061059563005088295,0.00038929825,0.030724430627295015
235,last_evening_avg_temp_22_22,0.061059563005088295,0.00057137717,0.03081547008651608
236,Td_6,0.061059563005088295,0.00029632013,0.03067794156550729
237,Td_21,0.06076025142173002,0.0005485818,0.030654416623649646
238,P_11,0.06076025142173002,0.00077699637,0.03076862389606749
