data,curs
30.08.2019,74
29.08.2019,74
28.08.2019,74
27.08.2019,73
24.08.2019,73
23.08.2019,73
22.08.2019,73
21.08.2019,74
20.08.2019,74
17.08.2019,73
16.08.2019,73
15.08.2019,73
14.08.2019,73
13.08.2019,73
10.08.2019,73
09.08.2019,73
08.08.2019,73
07.08.2019,73
06.08.2019,72
03.08.2019,72
02.08.2019,70
01.08.2019,71
31.07.2019,71
30.07.2019,71
27.07.2019,70
26.07.2019,70
25.07.2019,70
24.07.2019,71
23.07.2019,71
20.07.2019,71
19.07.2019,71
18.07.2019,71
17.07.2019,71
16.07.2019,71
13.07.2019,71
12.07.2019,71
11.07.2019,72
10.07.2019,71
09.07.2019,72
06.07.2019,72
05.07.2019,72
04.07.2019,72
03.07.2019,71
02.07.2019,71
29.06.2019,72
28.06.2019,72
27.06.2019,71
26.06.2019,71
25.06.2019,72
22.06.2019,71
21.06.2019,72
20.06.2019,72
19.06.2019,72
18.06.2019,72
15.06.2019,73
14.06.2019,73
12.06.2019,73
11.06.2019,73
08.06.2019,73
07.06.2019,73
06.06.2019,73
05.06.2019,73
04.06.2019,73
01.06.2019,73
31.05.2019,72
30.05.2019,72
29.05.2019,72
28.05.2019,72
25.05.2019,72
24.05.2019,72
23.05.2019,72
22.05.2019,72
21.05.2019,72
18.05.2019,72
17.05.2019,72
16.05.2019,73
15.05.2019,73
14.05.2019,74
09.05.2019,73
08.05.2019,73
07.05.2019,73
01.05.2019,72
30.04.2019,72
27.04.2019,72
26.04.2019,72
25.04.2019,72
24.04.2019,72
23.04.2019,72
20.04.2019,72
19.04.2019,72
18.04.2019,72
17.04.2019,73
16.04.2019,73
13.04.2019,73
12.04.2019,73
11.04.2019,73
10.04.2019,73
09.04.2019,73
06.04.2019,73
05.04.2019,73
04.04.2019,73
03.04.2019,73
02.04.2019,73
30.03.2019,73
29.03.2019,73
28.03.2019,73
27.03.2019,73
26.03.2019,73
23.03.2019,73
22.03.2019,73
21.03.2019,73
20.03.2019,73
19.03.2019,73
16.03.2019,74
15.03.2019,74
14.03.2019,74
13.03.2019,74
12.03.2019,74
08.03.2019,75
07.03.2019,74
06.03.2019,75
05.03.2019,75
02.03.2019,75
01.03.2019,75
28.02.2019,75
27.02.2019,74
26.02.2019,74
23.02.2019,74
22.02.2019,74
21.02.2019,75
20.02.2019,75
19.02.2019,75
16.02.2019,75
15.02.2019,75
14.02.2019,74
13.02.2019,74
12.02.2019,74
09.02.2019,75
08.02.2019,75
07.02.2019,75
06.02.2019,75
05.02.2019,75
02.02.2019,75
01.02.2019,75
31.01.2019,76
30.01.2019,76
29.01.2019,75
26.01.2019,75
25.01.2019,75
24.01.2019,75
23.01.2019,76
22.01.2019,76
19.01.2019,76
18.01.2019,76
17.01.2019,76
16.01.2019,77
15.01.2019,77
12.01.2019,77
11.01.2019,77
10.01.2019,77
30.12.2018,79
29.12.2018,80
28.12.2018,78
27.12.2018,79
