name_adress,house_flat,sqrt_m,number_date,,
"7-этажный 117-квартирный (кирпич) дом ул. Старорусская, д, 29
ООО «Регионнефтестрой» ЭКОНОМ",1/117,6 969,"№39-RU39301000-292-2015 от 20.12.2019    ",,
"10-этажный 99-квартирный (из проч. мат.) дом пер. Рассветный, д, 1, (ГП № 3, III эт.), МКП «Управление капитального строительства» ГО «Город Калининград» ЭКОНОМ",1/99,5 017,"№39-RU39301000-062-2018 от 26.12.2019    ",,
"9-этажный 181-квартирный (крупноблоч.) дом ул. Ген. Галицкого, д, 24
ООО «СУ «Западные регионы» ЭКОНОМ",1/181,14 288,"№39-RU39301000-195-2012 от 26.12.2019    ",,
"6-этажный 40-квартирный (кирп.) дом ул. Тенистая аллея 
ООО «Тенистая аллея» ЭКОНОМ",1/40,3 413,"№39-RU39301000-073-2017 от 26.12.2019    ",,
"14-этажный 392-квартирный (из проч. мат.) дом ул. Летняя, д, 72 (ГП № 1, этап 2)
ООО «РИО» ЭКОНОМ",1/392,15781,"№39-RU39301000-348-2016 от 28.12.2019    ",,
Балтийский муниципальный район,2/47,2 700,,,
"3-этажный 11-квартирный (кирпич) дом ул. Лесная, 
ООО «Море» ЭКОНОМ",1/11,582,"№39-RU39513101-077-2016 от 25.01.2019    ",,
"3-этажный 36-квартирный (кирпич) дом ул. Киркенесская
ООО «Море» ЭКОНОМ",1/36,2 118,"№39-RU39513101-44-2016 от 14.08.2019    ",,
Гурьевский городской округ,26/1 265,60 535,,,
"7-этажный 48-квартирный (проч. мат) дом по Рижский бульвар, д.7 (ГП № 2) 
ООО «Первый Квартал» ЭКОНОМ",1/48,1 976,"№39-RU39310000-083-2018 от 14.01.2019    ",,
"7-этажный 96-квартирный (проч. мат) дом по Рижский бульвар, д.9 (ГП № 3) 
ООО «Первый Квартал» ЭКОНОМ",1/96,3 953,,,
"7-этажный 96-квартирный (проч. мат) дом по Рижский бульвар, д.9 «а» (ГП № 4) 
ООО «Первый Квартал» ЭКОНОМ",1/96,4 368,,,
"5-этажный 20-квартирный (проч. мат) дом по ул. Луговая, д.6 «в» 
Зибаровский В.А. ЭКОНОМ",1/20,1 029,"№39-RU39310000-615-2016 от 17.01.2019    ",,
"3-этажный 12-квартирный (блок) дом пос.Б.Исаково, ул.Геологическая, д.17 (ГП № 2)
ООО «Термотех» ЭКОНОМ",1/12,764,"№39-RU39310000-744-2016 от 14.03.2019    ",,
"3-этажный 12-квартирный (блок) дом пос.Б.Исаково, ул.Геологическая, д.15 (ГП № 1)
ООО «Термотех» ЭКОНОМ",1/12,764,"№39-RU39310000-690-2016 от 14.03.2019    ",,
"3-этажный 20-квартирный (проч.матер.) дом пос. Голубево, ул. Лазурная, д. 15 
ООО «БаральтМ» ЭКОНОМ",1/20,1 036,"№39-RU39310000-572-2016 от 20.03.2019    ",,
"12-этажный 240-квартирный (проч.матер.) дом пос. Васильково, 
пер. Калининградский, д. 5 (ГП № 3) ООО «Комфорт» ЭКОНОМ",1/240,11 685,"№39-RU39310000-52-2015 от 21.03.2019    ",,
"5-этажный 135-квартирный (кирпич) дом пер. Байдукова, д. 1 «л»
ООО «Группа компаний «Объединенные системы» ЭКОНОМ",1/135,3 345,"№39-RU39310000-429-2014 от 27.05.2019    ",,
"5-этажный 27-квартирный (блок) дом пос. Большое Исаково, пер. Пионерский, д. 7 (ГП № 2) ООО «Гамма-Строй» ЭКОНОМ",1/27,1 421,"№39-RU39310000-650-2015 от 02.07.2019    ",,
"5-этажный 28-квартирный (блок) дом пос. Большое Исаково, пер. Пионерский, д. 11 (ГП № 1) ООО «Гамма-Строй» ЭКОНОМ",1/28,1 537,,,
"3-этажный 14-квартирный (блок) дом пос. Большое Исаково, пер. Пионерский, д. 9 (ГП № 3) ООО «Гамма-Строй» ЭКОНОМ",1/14,731,,,
"9-этажный 84-квартирный (блок) дом ул. Каштановая, д. 4 (ГП № 6)
ООО «РосБалтСтрой» ЭКОНОМ",1/84,3 983,"№39-RU39310000-32-2016 от 26.07.2019    ",,
"6-этажный 100-квартирный (проч.мат.) дом пос. Б. Исаково, ул. Уютная, д. 7 (ГП №12)
ООО «НОРД ВЭЙ» ЭКОНОМ",1/100,5 786  ,"№39-RU39310000-738-2014 от 18.10.2019    ",,
"6-этажный 49-квартирный (проч.мат.) дом пос. Б. Исаково, ул. Уютная, д. 8 (ГП №13)
ООО «НОРД ВЭЙ» ЭКОНОМ",1/49,2 921 ,,,
"6-этажный 43-квартирный (проч.мат.) дом пос. Б. Исаково, ул. Уютная, д. 9 (ГП №14)
ООО «НОРД ВЭЙ» ЭКОНОМ",1/43,2 557   ,,,
"6-этажный 43-квартирный (проч.мат.) дом пос. Б. Исаково, ул. Уютная, д. 10 (ГП №15)
ООО «НОРД ВЭЙ» ЭКОНОМ",1/43,2 559 ,,,
"3-этажный 45-квартирный (проч.мат.) дом пос. Голубево, ул. Лазурная, д. 6 (ГП №6)
ООО «БаральтМ» ЭКОНОМ",1/45,1 168 ,"№39-RU39310000-91-2016 от 22.10.2019    ",,
"3-этажный 45-квартирный (проч.мат.) дом пос. Голубево, ул. Лазурная, д. 8 (ГП №8)
ООО «БаральтМ» ЭКОНОМ",1/45,1 171 ,"№39-RU39310000-78-2016 от 22.10.2019    ",,
"3-этажный 27-квартирный (проч.мат.) дом пос. Голубево, ул. Лазурная, д. 9 (ГП №9)
ООО «БаральтМ» ЭКОНОМ",1/27,977 ,"№39-RU39310000-77-2016 от 22.10.2019    ",,
"3-этажный 53-квартирный (проч.мат.) дом пос. Голубево, ул. Лазурная, д. 7 (ГП №7)
ООО «БаральтМ» ЭКОНОМ",1/53,841,"№39-RU39310000-65-2016 от 28.10.2019    ",,
"3-этажный 12-квартирный (проч.мат.) дом п. Невское, ул. Петропавловская, д. 3 «а»
ООО «Центр долевого строительства» ЭКОНОМ",1/12,572 ,"№39-RU39310000-251-2018 от 08.11.2019    ",,
"3-этажный 30-квартирный (проч.мат.) дом, пос. Орловка, ул. Новая, д. 42г  Никитишин А.Д.  ЭКОНОМ",1/30,1189 ,"№39-RU39310000-214-2018 от 05.12.2019    ",,
"6-этажный 40-квартирный (из проч.мат.) дом ул. Калининградская, д, 12 «а» 
(II этап строит.), ООО «Элитстройинвест» ЭКОНОМ",1/40,1660,"№39-RU39310000-146-2019 от 20.12.2019    ",,
"3-этажный 45-квартирный (из проч.мат.) дом пос. Голубево, ул. Лазурная, д, 10
(по ГП № 10), ООО «БаральтМ» ЭКОЕОМ",1/45,1271,"№39-RU39310000-78-2016 от 30.12.2019    ",,
"3-этажный 45-квартирный (из проч.мат.) дом пос. Голубево, ул. Лазурная, д, 12
(по ГП № 12), ООО «БаральтМ» ЭКОНОМ",1/45,1271,"№39-RU39310000-80-2016 от 30.12.2019    ",,
Полесский городской округ,1/15,653,,,
"3-этажный 15-квартирный (проч.мат.) дом пер. Шевчука, д. 6
ООО «Околица» ЭКОНОМ",1/15,653,"№39-RU39327000-019-2016 от 05.04.2019    ",,
Зеленоградский городской округ,15/1 420,76 186,                                                                                      ,,
"3-этажный 24-квартирный (проч. мат) дом пос. Сосновка (ГП № 2) 
ООО «Крумон» ЭКОНОМ",1/24,918,"№39-RU39320000-078-2015 от 17.01.2019    ",,
"4-этажный 18-квартирный (проч.матер.) дом ул. Железнодорожная, д. 26 «а»
Куренков С.Н. ЭКОНОМ",1/18,561,"№39-RU39320000-043-2017 от 04.02.2019    ",,
"10-этажный 162-квартирный (проч.матер.) дом ул. Московская, д. 70 (ГП № 2)
ООО «Спецстрой» ЭКОНОМ",1/162,8 372,"№39-RU39320000-062-2015 от 26.03.2019    ",,
"10-этажный 305-квартирный (проч.матер.) дом ул. Московская, д. 68 (ГП № 3)
ООО «Спецстрой» ЭКОНОМ",1/305,17 790,,,
"10-этажный 77-квартирный (проч.мат.) дом ул. Приморская, д. 35 (ГП № 2)
ООО «Мед-Вест» ЭКОНОМ",1/77,3 884,"№39-RU39320000-0092-2014 от 03.04.2019    ",,
"3-этажный 36-квартирный (проч.мат.) дом ул. Гагарина, д. 63
ООО «БРИЗ» ЭКОНОМ",1/36,2 187,"№39-RU39320000-150-2018 от 29.04.2019    ",,
"3-этажный 24-квартирный (проч.мат.) дом пос. Сосновка (ГП № 2)
ООО «Крумон» ЭКОНОМ",1/24,897,"№39-RU39320000-078-2015 от 27.06.2019    ",,
"3-этажный 2-квартирный (проч.мат) дом на зем.уч. с к/н 39:05:010128:46
Гаврилюк Светлана Константиновна ЭКОНОМ",1/2,486,"№39-RU39320000-75-2009 от 16.08.2019    ",,
"3-этажный 2-квартирный (проч.мат) дом на зем.уч. с к/н 39:05:010128:37
Караваева Анна Сергеевна ЭКОНОМ",1/2,485,"№39-RU39320000-68-2009 от 16.08.2019    ",,
"10-этажный 140-квартирный (проч.мат) дом ул. Потемкина, д. 20 «в» (ГП № 1)
ООО «Монолит» ЭКОНОМ",1/140,8 402,"№39-RU39320000-37-2014 от 21.08.2019    ",,
"10-этажный 153-квартирный (кирпич) дом ул. А. Прохоренко, д. 3 (ГП № 2)
ООО «МПК-Инвест» ЭКОНОМ",1/153,7 980,"№39-RU39320000-23-2015 от 18.09.2019    ",,
"3-этажный 45-квартирный (проч.мат.) дом ул. Лазаревская, д. 7 (ГП №2)
ООО «СЗ «Альфастрой КД» ЭКОНОМ",1/45,1 852,"№39-RU39320000-203-2018 от 28.10.2019    ",,
"10-этажный 198-квартирный (проч.мат.) дом,  г. Зеленоградск, ул. Б. Окружная, д.1 ООО «Форт Строй» ЭКОНОМ",1/198,10 322,"№39-RU39320000-377-2019 от 09.12.2019    ",,
"10-этажный 72-квартирный (проч.мат.) дом ул. Тургенева, д, 12 «а», г. Зеленоградск
ООО «Кранц-Парк» ЭКОНОМ",1/72,4 464,"№39-RU39320000-081-2015 от 16.12.2019    ",,
"10-этажный 162-квартирный (смешан.) дом ул. Потемкина, д, 20 «б»,  (по ГП №2)
г. Зеленоградск, ООО «Монолит» ЭКОНОМ",1/162,7 586,"№39-RU39320000-192-2017 от 27.12.2019    ",,
Краснознаменский городской округ,1/50,2 762,,,
"6-этажный 50-квартирный (проч.мат.) дом,  г. Краснознаменск, ул. Московская, д.10 ФГКУ «Пограничное управление Федеральной Службы Безопасности Российской Федерации по Калининградской области» ЭКОНОМ",1/50,2762,"№39-RU39323000-03-2014 от 19.12.2019    ",,
Пионерский городской округ,8/461,20 369,,,
"5-этажный 80-квартирный (проч. мат) дом по ул. Генерала Ракова, д.2 
ООО «Балтстройиндустрия Плюс» ЭКОНОМ",1/80,4 483,"№39-RU39303000-97-2016 от 29.12.2018    ",,
"3-этажный 12-квартирный (кирпич) дом ул. Пионерская
ООО «Парк-Хаус» ЭКОНОМ",1/12,588,"№39-RU39303000-69-2016 от 01.07.2019    ",,
"6-этажный 40-квартирный (проч.мат.) дом ул. Калининградское шоссе, д. 15 «б»
ООО «Макрострой» ЭКОНОМ",1/40,1 209,"№39-RU39303000-188-2018 от 02.07.2019    
",,
"6-этажный 45-квартирный (проч.мат.) дом ул. Калининградское шоссе, д. 17 «б»
ООО «Макрострой» ЭКОНОМ",1/45,2 341,"№39-RU39303000-65-2016 от 02.07.2019    ",,
"6-этажный 60-квартирный (проч.мат.) дом ул. Калининградское шоссе, д. 17 «а»
ООО «Макрострой» ЭКОНОМ",1/60,1 824,"№39-RU39303000-66-2016 от 27.06.2019    ",,
"6-этажный 80-квартирный (проч.мат.) дом, г. Пионерский, ул. Рабочая, д. 48 «б» (4 оч.) ООО «МакроСтрой» ЭКОНОМ",1/80,2422,"№39-RU39303000-78-2016 от 20.12.2019    ",,
"7-этажный 60-квартирный (кирп.) дом, г.Пионерский, ул. Калининградское шоссе,д.3 ООО «ПСК-Строй» ЭКОНОМ",1/60,2817,"№39-RU39303000-305-2018 от 27.12.2019    ",,
"9-этажный 84-квартирный (кирп.) дом, г.Пионерский, ул. Комсомольская, д.14
 ООО «СТК-Балт» ЭКОНОМ",1/84,4685,"№39-RU39303000-095-2018 от 27.12.2019    ",,
Светловский городской округ,1/28,1 695,,,
"5-этажный 28-квартирный (кирп.) дом,  г. Светлый, ул. Гагарина, д. 4 «а» (корп. 3)
Мецлер Л.И. ЭКОНОМ",1/28,1695,"№39-RU39312000-015-2017 от 27.12.2019    ",,
Светлогорский район,14/1 135,50 659,,,
"8-этажный 112-квартирный (смеш.) дом по проезд Майский, д.17 (ГП № 5)
ООО «СЗ «Содружество Инвест» ЭКОНОМ",1/112,5 042,"№39-RU39518101-010-2016 от 21.01.2019    ",,
"7-этажный 68-квартирный (проч.матер.) дом ул. Токарева, д. 6 «а»
ООО «Строй Дом» ЭКОНОМ ",1/68,2 806,"№39-RU39518101-031-2016 от 26.02.2019    ",,
"7-этажный 65-квартирный (проч.матер.) дом пер. Сибирский, д. 4
ООО «РАУШЕН ПАРК» ЭКОНОМ",1/65,4 123,"№39-RU39518101-001-2017 от 27.03.2019    ",,
