TRADEDATE,MOEX,RTSI
869,11.07.2022,2162,1154
870,12.07.2022,2134,1142
871,13.07.2022,2074,1120
872,14.07.2022,2063,1114
873,15.07.2022,2110,1162
874,18.07.2022,2096,1169
875,19.07.2022,2071,1175
876,20.07.2022,2075,1189
877,21.07.2022,2054,1142
878,22.07.2022,2097,1161
879,25.07.2022,2129,1155
880,26.07.2022,2192,1136
881,27.07.2022,2196,1154
882,28.07.2022,2189,1138
883,29.07.2022,2214,1129
884,01.08.2022,2180,1139
885,02.08.2022,2137,1116
886,03.08.2022,2124,1106
887,04.08.2022,2117,1105
888,05.08.2022,2054,1072
889,08.08.2022,2088,1084
890,09.08.2022,2137,1116
891,10.08.2022,2152,1118
892,11.08.2022,2133,1106
893,12.08.2022,2147,1116
894,15.08.2022,2165,1113
895,16.08.2022,2208,1142
896,17.08.2022,2189,1136
897,18.08.2022,2194,1162
898,19.08.2022,2195,1171
899,22.08.2022,2228,1174
900,23.08.2022,2260,1190
901,24.08.2022,2248,1182
902,25.08.2022,2246,1183
903,26.08.2022,2269,1183
904,29.08.2022,2296,1198
905,30.08.2022,2307,1212
906,31.08.2022,2400,1258
907,01.09.2022,2446,1279
908,02.09.2022,2471,1285
909,05.09.2022,2488,1288
910,06.09.2022,2425,1252
911,07.09.2022,2402,1244
912,08.09.2022,2390,1238
913,09.09.2022,2426,1263
914,12.09.2022,2450,1281
915,13.09.2022,2447,1284
916,14.09.2022,2436,1283
917,15.09.2022,2447,1288
918,16.09.2022,2435,1275
919,19.09.2022,2431,1273
920,20.09.2022,2216,1154
921,21.09.2022,2131,1107
922,22.09.2022,2191,1175
923,23.09.2022,2090,1142
924,26.09.2022,1933,1043
925,27.09.2022,1953,1053
926,28.09.2022,1964,1075
927,29.09.2022,1954,1072
928,30.09.2022,1957,1056
929,03.10.2022,2042,1092
